EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
be sour	agrio	aigre	azedo	verb.stat	$ihiʃi$ <ihíʃi> (ácido, amargo) {Melendez 2011}	$ká:ma$ (azedo) {Ramirez 2001}			$kà:mé:ɾi$ (azedo) {Klumpp 1995}	$mameníʔ$ (azedo) {Allin 1979}	$kamá-peɾi$ (azedo) {Aikhenvald 2001}	$atʃike$ (ser azedo) {Aikhenvald 2012}, $atʃike$ (azedo) {Aikhenvald 2012}, $tsikẽhẽ$ (azedo) {Aikhenvald 2012}	$kaʔamani$ (azedo) {Schauer 2005}
be standing up	estar de pie, pararse	être debout	levantar-se	verb.stat	$barueriu$ <bárueriu> (pararse) {Melendez 2011}	$-hiníko$ (levantar-se) {Ramirez 2001}, $hótshome$ (levantar-se) {Ramirez 2001}, $-é:ma$ (estar de pé) {Ramirez 2001}	$kaduma$ (ficar em pé) {Oliveira 93}	<patʃha> $patʃha$ (ficar de pé) {Epps}	<bàlùanícawa> $bàlùanícawa$ (ficar em pé) {Epps}	$-iʔtóṇú$ (ficar em pé) {H&R 1992}	$di-éma$ (ficar em pé) {Aikhenvald 2001}	$atʃia$ (ficar em pé) {Aikhenvald 2012}, $naka$ (levantar-se) {Aikhenvald 2012}	$táɾaʔakaho$ (ficar de pé, parado) {Schauer 2005}
be stinky, issue a bad smell	apestar (heder)	fêtide, malodorant, rance	pestear, feder	verb.stat			$pʰiteni$ (feder) {Oliveira 93}			$matshííʔ-$ (feder) {Allin 1979}			
be strong, powerful	tener fuerza	être fort, puissant	forte, podoroso, tem força	verb.stat	$kadanani:niu$ <kadánaniiniu> (con fuerza) {Melendez 2011}	$khedzá:ko$ (forte) {Ramirez 2001}	$tʃumuni$ (forte) {Oliveira 93}		$nutʃàini$ (fuerza) {Klumpp 1995}, $katʃàinika$ (ser fuerte) {Klumpp 1995}		$maká:da$ (ser forte) {Aikhenvald 2001}		$katehmuni$ (forte) {Schauer 2005}
be sweet	dulce	doux, sucré	doce	verb.stat	$húhtʃai$ <húhtʃai> (dulce) {Melendez 2011}	$poot̺ídza$ (doce) {Ramirez 2001}			$putʃìtʃé:ɾi$ (doce) {Klumpp 1995}, $putʃìtʃaka$ (ser dulce) {Klumpp 1995}	$ɸeeʔpákhó migaakú$ (doce) {Allin 1979}		$keɾumaɾi$ (doce) {Aikhenvald 2012}	$pumeni$ (doce) {Schauer 2005}
be tasty	sabroso	savoureux, goûteux	saboroso, gostoso	verb.stat		$hóiwi$ (gostoso, saboroso) {Ramirez 2001}			$kasé:ɾi$ (delicioso) {Klumpp 1995}	$ketshíʔ$ (saboroso) {Allin 1979}			$delicioso$ (saboroso) {Schauer 2005}
be thirsty	tener sed	avoir soif	estar com sede	verb.stat		$máka:ɺe$ (estar com sede) {Ramirez 2001}			$makàɺaka$ (tener sed) {Klumpp 1995}				$makáɾaʔakaho$ (ter sede) {Schauer 2005}
be tired	(estar) cansado	être fatigué	cansado, exausto	verb.stat	$sáamui$ <saamui> (cansado) {Melendez 2011}	$há:ma:$ (cansado) {Ramirez 2001}				$maʔtsuuʔ-$ (cansado) {Allin 1979}, $maʔtsanaá-$ (cansado) {Allin 1979}		$katʃaɾi$ (estar cansado) {Aikhenvald 2012}, $makaɾe$ (cansado) {Aikhenvald 2012}, $yeɾe$ (estar cansado) {Aikhenvald 2012}	
be used to	acostumbrarse	s'habituer, avoir l'habitude	acostumar-se	verb.stat		$-dzé:ka$ (acostumar-se) {Ramirez 2001}			$nusàikaβa$ (acostumar-se) {Klumpp 1995}	$-hapótú$ (se acostumar) {Allin 1979}		$yupukwa$ (acostumar) {Aikhenvald 2012}	
be visible	ser visible, aparecer	être visible	aparecer	verb.stat		$kathína:$ (aparecer) {Ramirez 2001}			$asáika$ (ser visível) {Klumpp 1995}, $imà:kaka já:βaβa βaikákaténáni$ (aparecer) {Klumpp 1995}	$hiiʔko-ʒú$ (aparecer) {Allin 1979}		$uɾuɾiwi$ (aparecer) {Aikhenvald 2012}	$puʔuwaká$ (visível) {Schauer 2005}
be warm, hot, of weather or obj	caliente	chaud	quente	verb.stat	$amuai$ <amuái> (caliente) {Melendez 2011}	$hámo$ (quente) {Ramirez 2001}, $hámoka -ɺhio$ (estar com caɺor) {Ramirez 2001},	$takʰani$ (quente) {Oliveira 93}	<muʔú> $muʔú$ (quente) {Epps}		$haʔmoʔ$ (quente) {Epps}	$hamú-peɾi$ (quente) {Aikhenvald 2001}		$imaʔaní$ (quente) {Schauer 2005}
be weak	débil	faible	fraco, frágil	verb.stat		$móki$ (fraco V.) {Ramirez 2001}, $ó:ɻai$ (fraco V.) {Ramirez 2001}			$matʃàinika$ (ser débil) {Klumpp 1995}				$haɾéʔetʃimi$ (fraco) {Schauer 2005}
be wet	mojado	mouillê	molhado	verb.stat	$iisabii$ <íisabii> (mojado) {Melendez 2011}	$pó:tsia$ (moɺhado) {Ramirez 2001}	$wirani$ (molhado) {Oliveira 93}		$isàbeka$ (estar mojado) {Klumpp 1995}	$patsʰánuʔ$ (molhado) {Epps}	$kápe$ (molhado) {Aikhenvald 2001}	$muɾamuɾa$ (estar molhado) {Aikhenvald 2012}	$ihani$ (estar molhado) {Schauer 2005}
be white	blanco	blanc	branco	verb.stat	$kabálai$ <kabálai> (blanco) {Melendez 2011}	$jaɺánawi$ (branco V.) {Ramirez 2001}	$barini$ (branco) {Oliveira 93}	$ka:talike$ (branco) {H&R 1992}	$kabalèeri$ (branco) {H&R 1992}	$heííʔ$ (branco) {H&R 1992}	$yalána$ (branco) {Aikhenvald 2001}	$áɾiɾi$ (branco) {Aikhenvald 2012}, $yaɾanawi$ (branco) {Aikhenvald 2012}	$haɾeni$ (branco) {Schauer 2005}
be wide	ancho	large	largo	verb.stat	$manúʃidai$ <manúʃidai> (ancho) {Melendez 2011}	$maka-$ (largo) {Ramirez 2001}			$káukuíri$ (largo) {H&R 1992}	$tseinóʔ$ (largo) {Allin 1979}	$kẽsáma$ (largo) {Aikhenvald 2001}, $jenúite$ $yenúite$ (largo) {Epps}		$tʃítahe$ (largo) {Schauer 2005}
be yellow	amarillo	jaune	amarelo	verb.stat	$mereekii$ <meréekii> (amarillo) {Melendez 2011}	$é:wa$ (amareɺo) {Ramirez 2001}	$witu$ (amarelo) {Oliveira 93}	<karawa-ri> $karawa-ri$ (amarelo) {Epps}	<é(e)wa> $é(e)wa$ (amarelo) {Epps}, <éewéeri> $é:wé:ɾi$ (amarelo) {Epps}	$dogíigaʔéʔ$ (amarelo) {Epps}	$ewíte$ (amarelo) {Aikhenvald 2001}	$puɾebaɾu$ (amarelo) {Aikhenvald 2012}, $téwaɾi$ (amarelo) {Aikhenvald 2012}	$hewani$ (amarelo) {Schauer 2005}
bead (N)	chaquira	perle	conta miçanga	material culture		$maniɲákaɺe$ (conta (comercial)) {Ramirez 2001}			<tùliquìchi> $tùlikìtʃi$ (miçanga) {Epps}	$hímíu$ (conta) {Epps}			$ihnehí$ (miçanga) {Epps}
beard	barba	barbe	barba	body part		$-tsínoma$ (barba) {Ramirez 2001}, $-we:dé:tsi$ (barba) {Ramirez 2001}			$wa-sínuma$ (barba) {H&R 1992}	$-noʒíhí$ (barba) {Allin 1979}	$di-c̃inúma$ (barba) {Aikhenvald 2001}	$nuʃanuma$ (barba) {Aikhenvald 2012}	$aʔaɾétʃihi$ (barba) {Schauer 2005}
become skinny (of person/object), become smoked (of food)	enflaquecerse, estar ahumado	maigrir	enfraquecerse, estar afumado	verb.stat						$-padú$ (enfraquecer) {Allin 1979}			$wahaʔatákaho$ (enfraquecer) {Schauer 2005}
bee	abeja	abeille	abelha	insect	$ma:ba$ <máaba> (abeja) {Melendez 2011}	$má:pa$ (abelha genérico) {Ramirez 2001}	$maba$ (abelha) {Oliveira 93}	<máapa> $máapa$ (abelha) {Epps}	$máaba$ (abelha) {H&R 1992}	$mápú$ (abelha) {Epps}, $maápú$ (abelha) {Epps}	$má:pa$ (abelha) {Aikhenvald 2001}	$ma:pa$ (abelha) {Aikhenvald 2012}	$ipuɾehleɾu$ (abelha) {Schauer 2005}
beetle	escarabajo	scarabée	besouro, escaravelho	insect		$tá:paɺiko$ (certo tipo de besouro que vive na casca de paus secos) {Ramirez 2001}, $i:xída:$ (vira-bostas (nome dado a certos besouros pretos ou verdes)) {Ramirez 2001}			$kuβália$ (escarabajo torito) {Klumpp 1995}, $kàisamáɺu$ (escarabajo verde de escudo) {Klumpp 1995}	$hiímó$ (besouro) {Allin 1979}	$siépa$ (besouro) {Aikhenvald 2001}		$kanupa$ (besouro) {Schauer 2005}, $muhíyeʔe$ (besouro) {Schauer 2005}
belch, burp	eructar	roter	arrotar	verb.act	$kieri$ <kiéri> (eructar) {Melendez 2011}	$baɺakháika$ (arrotar) {Ramirez 2001}							$atʃúɾaʔakaho$ (arrotar) {Schauer 2005}
believe	creer	croire	crer	verb.stat	$éʔwideri$ <éʔwideri> (creer) {Melendez 2011}	$-hé:pa$ (crer, acreditar) {Ramirez 2001}			$nuebáidaka$ (creer) {Klumpp 1995}	$kaákusóʔi-khú$ (crer) {Allin 1979}		$awata$ (acreditar) {Aikhenvald 2015}	
belly	barriga	ventre	barriga	body part	$jawaiʃi$ <jawaiʃi> (barriga) {Melendez 2011}	$-xáda$ (barriga) {Ramirez 2001}	$nu-dura$ (barriga) {Oliveira 93}	<te[re]> $te[re]$ (barriga) {Epps}	<dèe> $dèe$ (barriga) {Epps}	$-iiʔʃáú$ (barriga) {Allin 1979}	$dí-wa$ (barriga) {Aikhenvald 2001}	$nuneni$ (barriga) {Aikhenvald 2012}, $nutsiábu$ (barriga) {Aikhenvald 2012}	$hulahi$ (barriga) {Epps}
belly button	ombligo	nombril	umbigo	body part	$muduiʃi$ <muduiʃi> (ombligo) {Melendez 2011}	$-hé:poɺe$ (umbigo) {Ramirez 2001}			$isùdu$ (umbigo) {H&R 1992}	$-eʔphódé$ (umbigo) {Allin 1979}	$dhépole$ (umbigo) {Aikhenvald 2001}	$numude$ (umbigo) {Aikhenvald 2012}	$muʔutʃúɾehi$ (umbigo) {H&R 1992}
bent	doblado, tuerto	plié, courbé, tordu	dobrado, encurvado	verb.stat	$tʃueikui$ <tʃúeikui> (torcido) {Melendez 2011}	$dzíki$ (dobrado) {Ramirez 2001}						$diɾibeɾi$ (curvado, torto) {Aikhenvald 2012}	
big	grande	grand	grand	verb.stat	$maanuii$ <máanuii> (grande) {Melendez 2011}	$maka-$ (grande) {Ramirez 2001}	$kumaɾehe$ (grande) {Oliveira 93}	<manuʔú> $manuʔú$ (grande) {Epps}	<manuíri> $manuíɾi$ (grande) {Epps}	$ʒiʒáʔaamí$ (grande) {Allin 1979}	$hanúite$ (grande) {Aikhenvald 2001}	$iɾuami$ (grande) {Aikhenvald 2012}, $yaɾute$ (ser grande) {Aikhenvald 2012}	$ɲópoʔohlo$ (grande) {Epps}
bird, general	pajaro, ave	oiseau	pássaro	bird	$míʃidu$ <míʃidu> (pájaro) {Melendez 2011}	$képiɻa$ (pássaro) {Ramirez 2001}	$tʃabati$ (pássaro) {Oliveira 93}	$ʔupiɾa$ (pássaro) {Ramirez, 2001}, $ku(ʔ)piɾa$ (pássaro) {Ramirez, 2001}	<màsibèe> $màsibèe$ (pássaro) {Epps}, $kuìpìɾa$ (pássaro) {H&R 1992}	$kóʔpíidú$ (pássaro) {Epps}, $adovíigí$ (pássaro) {Epps}	$képiɾa$ (pássaro) {Aikhenvald 2001}	$utʃipie$ (pássaro) {Aikhenvald 2012}	$kupiɾaʔapʰá$ (pássaro) {Epps}
bite	morder	mordre	morder	verb.act	$-amua$ (morder) {Ramirez 2001}	$-mhoa$ (morder) {Ramirez 2001}	$kʰaru$ (morder) {Oliveira 93}	$amhe$ (morder) {Ramirez, 2001}	<ichicúadaca> $itʃikúadaka$ (morder) {Epps}, <imasáaca> $imasáaka$ (morder) {Epps}, <nuamíadaca> $nuamíadaka$ (morder) {Epps}, <yaamíaca> $jaamíaka$ (morder) {Epps}, <yúucaca> $júukaka$ (morder) {Epps}	$-emú$ (morder) {Allin 1979}	$di-whá$ (morder) {Aikhenvald 2001}, $wʰã$ (morder) {Epps}	$mutʃita$ (morder) {Aikhenvald 2012}	$ahmaʔakahe$ (morder) {Epps}
biting gnat, Simulium spp., Sp “mosca negra”	mosca	mouche	mosca, mancha, mosca-preta	insect	$hulédiru$ <hulédiru> (mosca) {Melendez 2011}	$do:ɺo$ (mosca domesticada) {Ramirez 2001}, $dó:ta$ (mosca domesticada) {Ramirez 2001}			$pùɺedèɾu$ (mosca) {H&R 1992}	$heété$ (mosca) {Epps}	$dó:lo$ (mosca) {Aikhenvald 2001}		$hamuʔuná$ (mosca) {Schauer 2005}
black armadillo (fish)	armadillo negro (pez)	tatou noir	cascudo	fish		$dza:ma$ (bodós, cascudos) {Ramirez 2001}					$kási ikapátu$ (cascudo) {Aikhenvald 2001}		
blood	sangre	sang	sangue	body part	$iirai$ <íirai> (sangre) {Melendez 2011}	$-i:ɻana:$ (sangue) {Ramirez 2001}	$ya$ (sangue) {Oliveira 93}	<íʔira> $íʔira$ (sangue) {Epps}	<irái> $iɾái$ (sangue) {Epps}	$-iidú$ (sangue) {Allin 1979}	$díɾi$ (sangue) {Aikhenvald 2001}	$myaʃi$ (sangue) {Aikhenvald 2012}	$íɾahi$ (sangue) {Epps}, $hiɾá$ (sangue) {Epps}
blow (wind)	soplar (viento)	souffler (vent)	soprar	verb.int		$-phia$ (assoprar) {Ramirez 2001}	$pʰesa$ (soprar) {Oliveira 93}	<(ha)kapuupua> $(ha)kapuupua$ (soprar) {Epps}	<ipùaca> $ipùaca$ (soprar) {Epps}, $nupùɺìaka> (soprar) {Klumpp 1995}	$ɸóo-khú$ (soprar) {Allin 1979}	$di-buetá$ (soprar) {Aikhenvald 2001}	$yuwita$ (soprar) {Aikhenvald 2012}	$apʰoʔokahe$ (soprar) {Epps}, $fóo-kʰú$ (soprar) {Epps}
blow, shoot blowgun	soplar	souffler	assoprar, soprar	verb.act		$-phia$ (assoprar) {Ramirez 2001}	$pʰesa$ (soprar) {Oliveira 93}	<(ha)kapuupua> $(ha)kapuupua$ (soprar) {Epps}	<ipùaca> $ipùaca$ (soprar) {Epps}, $nupùɺìaka> (soprar) {Klumpp 1995}	$ɸóo-khú$ (soprar) {Allin 1979}	$di-buetá$ (soprar) {Aikhenvald 2001}	$yuwita$ (soprar) {Aikhenvald 2012}	$apʰoʔokahe$ (soprar) {Epps}, $fóo-kʰú$ (soprar) {Epps}
blowgun	cerbatana, bodoquera, pucuna	sarbacane	zarabatana	material culture		$mawipi$ (zarabatana) {Ramirez 2001}		<wápaʔna> $wápaʔna$ (zarabatana) {Epps}	<siripíwa> $siɾipíwa$ (zarabatana) {Epps}	$váʔpaánú$ (zarabatana) {Epps}, $váʔpaánahú$ (zarabatana) {Epps}	$mawípi$ (zarabatana) {Aikhenvald 2001}		$wapaʔaná$ (zarabatana) {Schauer 2005}
bluff, cliff, esp. at riverbank	acantilado	falaise	escarpado, acantilado, escarpamento	terrain									
boil (VI)	hervir	bouiller	ferver, cozer	verb.int	$jáhkueriu$ <jahkueriu> (hervir) {Melendez 2011}	$-thia$ (ferver) {Ramirez 2001}			$nupùaka$ (hervir) {Klumpp 1995}	$-níʔtsotú$ (ferver) {Allin 1979}	$lésa$ (ferver) {Aikhenvald 2001}		$puyúkatakahe$ (ferver) {Schauer 2005}
bone	hueso	os	osso	body part	$jahiʃi$ <jáhiʃi> (hueso) {Melendez 2011}	$-á:pi$ (osso) {Ramirez 2001}, $(i)ɲiapi$ (osso) {Ramirez 2001}		<japi> $japi$ (osso) {Epps}	<api> $api$ (osso) {Epps}	$aápí$ (osso) {Epps}	$di-yápi$ (osso) {Aikhenvald 2001}, $di-ñápi$ (osso) {Aikhenvald 2001}	$nuʃimapie$ (osso) {Aikhenvald 2012}	$apʰinámihi$ (osso) {Epps}
botfly larva, grub, lives in animal	gusano, larva	ver, larve	gusano, chigoe, larva	insect	$e:niʃi$ <éeniʃi> (gusano) {Melendez 2011}	$-í:xeni$ (larva de mosca que entra na pele dos seres humanos, dos animais ou dentro dos vegetais) {Ramirez 2001}			$mà:tʃùba$ (larva) {Klumpp 1995}	$naʔi$ (gusano) {Allin 1979}	$yúɾu$ (larva) {Aikhenvald 2001}		$iʔipitʃí$ (gusano) {Schauer 2005}
bow	arco	arc	arco	material culture	$tʃa:widauʃi$ <tʃáawidauʃi> (arco) {Melendez 2011}	$-dzawithíapo$ (arco) {Ramirez 2001}	$sewepi$ (arco) {Oliveira 93}		<demápu> $demápu$ (arco) {Epps}	$-jawi[thíapu]$ (arco) {hr01}	$yawithépu$ (arco) {Aikhenvald 2001}	$tsawituɾeʃi$ (arco) {Aikhenvald 2012}	$wiɾaʔapaɾa$ (arco) {Epps}
boy, male child	muchacho, niño	garçon	garoto, menino	other	$tʃi:tʃi$ <tʃíitʃi> (muchacho) {Melendez 2011}	$a:tsiáda$ (menino) {Ramirez 2001}			$sùmài$ (niño) {Klumpp 1995}	$ókôgiígí$ (garoto) {Allin 1979}			$walihímaka$ (garoto) {Schauer 2005}
brain	cerebro, seso	cerveau	cérebro	body part	$késueʃi$ <késueʃi> (cerebro) {Melendez 2011}	$-hiwideéta$ (cérebro) {Ramirez 2001}			$nukuésue$ (cerebro) {Klumpp 1995}		$di-whidáki$ (cérebro) {Aikhenvald 2001}		$hapoʔohehi$ (cérebro) {Schauer 2005}
branch	rama	branche	galho, ramo	plant	$dubaiʃi$ <dubáiʃi> {Melendez 2011}, $tʃikiri$ <tʃíkiri> (rama) {Melendez 2011}	$-ke$ (galho) {Ramirez 2001}	$waku$ (galho) {Oliveira 93}		$jà:na$ (rama) {Klumpp 1995}	$tégakú$ (galho) {Allin 1979}	$hekú-kena$ (galho) {Aikhenvald 2001}		$iʔitʃehi$ (galho) {Schauer 2005}
brazil nut	nuez de Brasil	noix du Brésil	castanha-do-pará	plant							$kúida$ $kúida$ (castanha-do-pará) {Epps}, $wasé-na$ $wasé-na$ (castanha-do-pará) {Epps}		
break (VI)	romperse	se casser, se rompre, se briser	quebrar-se	verb.int	$ipakieri$ <ipákieri> (romper) {Melendez 2011}	$tókome$ (quebrar-se em dois) {Ramirez 2001}, $dákame$ (quebrar-se em dois) {Ramirez 2001}, $dáɺheme$ (quebrar-se em dois) {Ramirez 2001}, $towháme$ (quebrar-se em dois) {Ramirez 2001}	$kʰarika$ (quebrar) {Oliveira 93}			$too-khú$ (quebrar) {Allin 1979}	$di-wádu$ (quebrar-se) {Aikhenvald 2001}		$yupaʔakaho$ (romper-se) {Schauer 2005}
break (VI) in many pieces, of sth rigid and 2D	romperse, desbaratar	se casser, se rompre, se briser	desbaratar, quebrar-se em varios pedaços	verb.int		$bóɺome$ (quebrar-se em vários pedaços) {Ramirez 2001}							$kahɾaʔakahe$ (desgarrar) {Schauer 2005}
break (VI), of sth rigid and 3D such as an egg	romperse, chancarse	se casser, se rompre, se briser	triturar	verb.int		$tókome$ (quebrar-se em dois) {Ramirez 2001}, $dákame$ (quebrar-se em dois) {Ramirez 2001}, $dáɺheme$ (quebrar-se em dois) {Ramirez 2001}, $towháme$ (quebrar-se em dois) {Ramirez 2001}			$nù:ɺùaka$ (triturar) {Klumpp 1995}				
break (VT)	romper, quebrar	casser, briser, rompre	quebrar	verb.act	$tu:kueri$ <túukueri> (quebrar) {Melendez 2011}	$-tókhoa$ (quebrar em dois) {Ramirez 2001}, $-tokométa$ (quebrar em dois) {Ramirez 2001}, $boɺométa$ (quebrar em vários pedaços) {Ramirez 2001}, $-mákha:$ (quebrar em vários pedaços) {Ramirez 2001}			$nu-tʃatʃanáidaka$ (desmenuzar) {Klumpp 1995}, $nubakuíadaka$ (trozar) {Klumpp 1995}, $nusubèɾiadaka$ (trozar) {Klumpp 1995}		$di-thuaká$ (quebrar) {Aikhenvald 2001}, $di-makhá$ (quebrar, rachar) {Aikhenvald 2001}, $di-wésya$ (quebrar, moer, esmagar) {Aikhenvald 2001}	$aɾia$ (quebrar) {Aikhenvald 2012}, $keɾika$ (quebrar) {Aikhenvald 2012}, $paka$ (quebrar em dois pedaços) {Aikhenvald 2012}	$mahákaʔakahe$ (quebrar) {Schauer 2005}, $apíhɾoʔokahe$ (desmembrar) {Schauer 2005}
break (VT) in half, of sth rigid, completely breaking or cutting	trozar, pedacear	fendre, casser	quebrar em dois	verb.act	$tu:kueri$ <túukueri> (quebrar) {Melendez 2011}	$-tókhoa$ (quebrar em dois) {Ramirez 2001}, $-tokométa$ (quebrar em dois) {Ramirez 2001}			$nubakuíadaka$ (trozar) {Klumpp 1995}, $nusubèɾiadaka$ (trozar) {Klumpp 1995}		$di-thuaká$ (quebrar) {Aikhenvald 2001}, $di-makhá$ (quebrar, rachar) {Aikhenvald 2001}, $di-wésya$ (quebrar, moer, esmagar) {Aikhenvald 2001}	$paka$ (quebrar em dois pedaços) {Aikhenvald 2012}	$mahákaʔakahe$ (quebrar) {Schauer 2005}, $apíhɾoʔokahe$ (desmembrar) {Schauer 2005}
break (VT) into many pieces, of sth brittle such as tobacco leaves, crumble	desmenuzar	déchiqueter	quebrar em varios pedaços	verb.act	$tu:kueri$ <túukueri> (quebrar) {Melendez 2011}	$boɺométa$ (quebrar em vários pedaços) {Ramirez 2001}, $-mákha:$ (quebrar em vários pedaços) {Ramirez 2001}			$nu-tʃatʃanáidaka$ (desmenuzar) {Klumpp 1995}		$di-thuaká$ (quebrar) {Aikhenvald 2001}, $di-makhá$ (quebrar, rachar) {Aikhenvald 2001}, $di-wésya$ (quebrar, moer, esmagar) {Aikhenvald 2001}	$aɾia$ (quebrar) {Aikhenvald 2012}, $keɾika$ (quebrar) {Aikhenvald 2012}, $paka$ (quebrar em dois pedaços) {Aikhenvald 2012}	$apíhɾoʔokahe$ (desmembrar) {Schauer 2005}
break (VT), of sth rigid and 3D such as an egg	chancar	casser	triturar	verb.act	$tu:kueri$ <túukueri> (quebrar) {Melendez 2011}	$-tókhoa$ (quebrar em dois) {Ramirez 2001}, $-tokométa$ (quebrar em dois) {Ramirez 2001}			$nu-tʃatʃanáidaka$ (desmenuzar) {Klumpp 1995}, $nubakuíadaka$ (trozar) {Klumpp 1995}, $nusubèɾiadaka$ (trozar) {Klumpp 1995}		$di-thuaká$ (quebrar) {Aikhenvald 2001}, $di-makhá$ (quebrar, rachar) {Aikhenvald 2001}, $di-wésya$ (quebrar, moer, esmagar) {Aikhenvald 2001}	$aɾia$ (quebrar) {Aikhenvald 2012}, $keɾika$ (quebrar) {Aikhenvald 2012}, $paka$ (quebrar em dois pedaços) {Aikhenvald 2012}	$mahákaʔakahe$ (quebrar) {Schauer 2005}, $apíhɾoʔokahe$ (desmembrar) {Schauer 2005}
break (VT), of sth rigid, without complete break; as you break branches to indicate path	quebrar	casser, plier	quebrar	verb.act	$tu:kueri$ <túukueri> (quebrar) {Melendez 2011}	$-tókhoa$ (quebrar em dois) {Ramirez 2001}, $-tokométa$ (quebrar em dois) {Ramirez 2001}			$nu-tʃatʃanáidaka$ (desmenuzar) {Klumpp 1995}, $nubakuíadaka$ (trozar) {Klumpp 1995}, $nusubèɾiadaka$ (trozar) {Klumpp 1995}		$di-thuaká$ (quebrar) {Aikhenvald 2001}, $di-makhá$ (quebrar, rachar) {Aikhenvald 2001}, $di-wésya$ (quebrar, moer, esmagar) {Aikhenvald 2001}	$aɾia$ (quebrar) {Aikhenvald 2012}, $keɾika$ (quebrar) {Aikhenvald 2012}, $paka$ (quebrar em dois pedaços) {Aikhenvald 2012}	$mahákaʔakahe$ (quebrar) {Schauer 2005}, $apíhɾoʔokahe$ (desmembrar) {Schauer 2005}
breast	seno	sein	seio	body part	$kutaʃi$ <kútaʃi> (pecho) {Melendez 2011}	$-í:ni$ (seio, mama) {Ramirez 2001}	$dini$ (seio) {Oliveira 93}	$-íini$ (seio, mama) {Ramirez2001}	<ìni> $ìni$ (seio) {Epps}	$óʔkótáapígú$ (seio) {Epps}	$du-éni$ (seio) {Aikhenvald 2001}	$nutʃini$ (seio) {Aikhenvald 2012}, $nututʃi$ (seio) {Aikhenvald 2012}	$tʃuʔutʃú$ (seio) {Epps}
breastfeed, of baby	mamar	téter	mamar	verb.act		$-í:ɻa$ (mamar) {Ramirez 2001}			$ì:ɾaka ì:nisi$ (mamar) {Klumpp 1995}				
breastfeed, of mother	amamantar	allaiter, donner le sein à, nourrir au sein	amamentar	verb.act							$diɾeta$ (amamentar) {Aikhenvald 2001}		
breathe	respirar	respirer	respirar, aspirar	verb.int		$-hiɻa:$ (quebrar em dois) {Ramirez 2001}, $-ka:ɺewa$ (respirar) {Ramirez 2001}	$hama$ (respirar) {Oliveira 93}		<mìadáidaca> $mìadáidaka$ (respirar) {Epps}	$sikuʔ-Jú$ (respirar) {Epps}			$ɾeʔihahó ɲaʔakana$ (respirar) {Epps}
bring	traer	apporter, amener	trazer	verb.act	$inderi$ <índeri> (traer) {Melendez 2011}	$-de:$ (trazer) {Ramirez 2001}	$kʰabi$ (trazer) {Oliveira 93}		$nùanàidaka$ (traer) {Klumpp 1995}	$-hanápí$ (trazer) {Allin 1979}	$dhíta$ (trazer) {Aikhenvald 2001}	$apiñaya$ (trazer) {Aikhenvald 2012}	$iʔihnatákahe$ (tɾazer) {Schauer 2005}
brother (general)	hermano	frère	irmão	kinship term	$e:nahiriʃi$ <éenahiriʃi> (hermano) {Melendez 2011}	$-mhéɻe:ɻi$ (irmão) {Ramirez 2001}, $-phé:ɻi$ (irmão) {Ramirez 2001}, $-e:ɻikána:$ (irmão) {Ramirez 2001}						$yaɾitua$ (irmão) {Aikhenvald 2012}	$ɾeʔewé$ (irmão) {Schauer 2005}
brother of father	tío paterno	oncle paternal	tio paterno	kinship		$-haniɻi$ (tio paterno) {Ramirez 2001}, $phe:ɻi$ (tio paterno) {Ramirez 2001}	$nu-kute$ (tio) {Oliveira 93}			$-heenáagpi$ (tio paterno) {Allin 1979}	$di-kwí-ɾu$ (tio paterno) {Aikhenvald 2001}, $di-kúi-ɾu$ (tio paterno) {Aikhenvald 2001}		$owilá$ (tio paterno) {Schauer 2005}, $oilá$ (tio paterno) {Schauer 2005}
brother, no age spec	hermano	frère	irmão	kinship term	$e:nahiriʃi$ <éenahiriʃi> (hermano) {Melendez 2011}	$-mhéɻe:ɻi$ (irmão) {Ramirez 2001}, $-phé:ɻi$ (irmão) {Ramirez 2001}, $-e:ɻikána:$ (irmão) {Ramirez 2001}							$ehenahi$ (iɾmãos e iɾmãs, familiaɾes íntimos) {Schauer 2005}, $eʔewehí$ (iɾmão mais velho ou religioso) {Schauer 2005}, $eʔewelohí$ (iɾmã mais velha ou religiosa) {Schauer 2005}, $meɾémehi$ (iɾmão mais novo) {Schauer 2005}, $meɾelómihi$ (irmã mais nova) {Schauer 2005}, $yuʔuwí$ (voc., irmão e irnã mais velha) {Schauer 2005}, $ oʔowé$ (voc., irmão mais velho) {Schauer 2005}, $oʔoweló$ (voc., irmã mais velha) {Schauer 2005}, $yaʔatʃéniya$ (voc., irmã ou prima mais velha, filha do irmão mais velho do pai) {Schauer 2005}
brother-in-law	cuñado	beau-frère	cunhado	kinship term		$-ɺimát̺aiɻi$ (cunhado) {Ramirez 2001}			$nusàiɾi$ (hermano de mi esposo) {Klumpp 1995}			$nuneɾíma$ (cunhado) {Aikhenvald 2012}	$puláʔapehi$ (cunhado) {Schauer 2005}, $puláʔapeɾuhi$ (cunhada) {Schauer 2005}
